title,company,location,job_type,experience_level,skills,posting_date,application_link,scraped_at
Software Technical Team Leader,Softec Technologies -,"Maadi, Cairo, Egypt",Full Time,· 8+ Yrs of Exp,"['· Information Technology (IT)', '· Computer Science', 'Software Development', 'Software Engineering', '· OOP', '· Web Development', '· Desktop Development', '· SQL', 'Software Technical Team Leader', 'Manager', '· IT/Software Development', '· Engineering - Telecom/Technology']",14 hours ago,https://wuzzuf.net/jobs/p/myyspclz6fom-software-technical-team-leader-softec-technologies-cairo-egypt,2025-08-26 01:17:50
Software Quality Control Engineer- Healthcare Industry,Dynamicslink -,"Nasr City, Cairo, Egypt",Full Time,· 4 - 7 Yrs of Exp,"['· Information Technology (IT)', '· Quality Control', '· ISTQB', '· Computer Science', 'Software Testing', 'Software', '· Science', '· IT/Software Development', '· Medical/Healthcare', '· Quality']",Not specified,https://wuzzuf.net/jobs/p/lemw4pu317xr-software-quality-control-engineer-healthcare-industry-dynamicslink-cairo-egypt,2025-08-26 01:17:50
Senior Software Quality Assurance Engineer,Madar Soft -,"Fleming, Alexandria, Egypt",Full Time,· 3 - 3 Yrs of Exp,"['· ISTQB', '· Computer Science', '· SDLC', '· Agile', '· Java', '· Quality Assurance', '· QA', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/5yhf8pcbyvfm-senior-software-quality-assurance-engineer-madar-soft-alexandria-egypt,2025-08-26 01:17:50
Electromechanical Project Engineer,Eagle Chemicals -,"6th of October, Giza, Egypt",Full Time,· 5 - 6 Yrs of Exp,"['· Project Management', 'Mechanical Engineering', 'Electrical Engineering', 'Electromechanical Engineering', 'CAD Software', '· AutoCAD', '· MS Office', 'Electromechanical Project Engineer', '· Engineering - Construction/Civil/Architecture', '· Project/Program Management', '· Engineering - Mechanical/Electrical']",1 day ago,https://wuzzuf.net/jobs/p/1szmjjaqy7ve-electromechanical-project-engineer-eagle-chemicals-giza-egypt,2025-08-26 01:17:50
Project Coordinator Engineer,union -,"10th of Ramadan City, Sharqia, Egypt",Full Time,· 2+ Yrs of Exp,"['· Project monitoring', '· Technical reporting', '· Problem-solving', '· Time management', '· Attention to detail', 'Project management software', 'Mechanical Engineering', 'Project Coordinator Engineer', '· Engineering - Construction/Civil/Architecture', '· Manufacturing/Production', '· Engineering - Mechanical/Electrical']",10 hours ago,https://wuzzuf.net/jobs/p/kty5m8t0dzbu-project-coordinator-engineer-union-sharqia-egypt,2025-08-26 01:17:51
Senior Flutter Software Developer,Confidential -,"6th of October, Giza, Egypt",Full Time,· 2+ Yrs of Exp,"['· Computer Science', '· Design', '· Development', '· HTML', '· Information Technology (IT)', 'Software Development', 'Software Engineering', 'Software', '· IT/Software Development', '· Engineering - Telecom/Technology']",Not specified,https://wuzzuf.net/jobs/p/60qucl2n2qug-senior-flutter%20software-developer-giza-egypt,2025-08-26 01:17:51
Senior Software Testing Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt",Full Time,· 4+ Yrs of Exp,"['· Quality Control', 'Software Testing', '· Information Technology (IT)', '· Computer Science', '· QC', '· Security Testing', '· Automated Testing', '· QA', '· IT/Software Development', '· Engineering - Telecom/Technology']",15 hours ago,https://wuzzuf.net/jobs/p/tfi2c35rk8do-senior-software-testing-engineer-nahdet-misr-publishing-group-giza-egypt,2025-08-26 01:17:58
Software QA Engineer,IKEN Technology -,"Maadi, Cairo, Egypt",Full Time,· 2 - 3 Yrs of Exp,"['· Computer Science', 'Software Testing', '· Quality Assurance', '· Quality Control', '· Testing', '· API Testing', '· Team Leadership', 'Software QA Engineer', '· IT/Software Development', '· Quality', '· Engineering - Telecom/Technology']",7 days ago,https://wuzzuf.net/jobs/p/w7cjun587gup-software-qa-engineer-iken-technology-cairo-egypt,2025-08-26 01:17:59
Software Engineer Instructor,Pyramakerz -,"Basatin, Cairo, Egypt",Full Time,· 2 - 3 Yrs of Exp,"['· Instructor', 'Software Engineering', '· AI', '· Robotics', '· Mobile Development', '· Computer Science', '· Roblox Studio', 'Software Engineer Instructor', '· Engineering - Telecom/Technology', '· Education/Teaching', '· Training/Instructor']",8 days ago,https://wuzzuf.net/jobs/p/xfsp9hjzsqox-software-engineer-instructor-pyramakerz-cairo-egypt,2025-08-26 01:17:59
Software Architect Engineer,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt",Full Time,· 8 - 12 Yrs of Exp,"['· .Net', '· Architecture', '· AWS', '· Azure', 'Computer Engineering', '· Cloud', '· Computer Science', '· DevOps', 'Software Architect Engineer', '· IT/Software Development', '· Engineering - Telecom/Technology']",5 days ago,https://wuzzuf.net/jobs/p/i0ewjtqdxjmb-software-architect-engineer-nahdet-misr-publishing-group-giza-egypt,2025-08-26 01:17:59
